,angle,distance,energy
3,0.0,4,[0.27543491]
4,0.0,5,[0.2732354]
5,0.7853981633974483,1,[0.3147204]
6,0.7853981633974483,2,[0.3147204]
7,0.7853981633974483,3,[0.28208836]
8,0.7853981633974483,4,[0.2747597]
9,0.7853981633974483,5,[0.27156766]
10,1.5707963267948966,1,[0.30714993]
11,1.5707963267948966,2,[0.27848606]
12,1.5707963267948966,3,[0.27491731]
13,1.5707963267948966,4,[0.27386763]
14,1.5707963267948966,5,[0.2728016]
15,4.71238898038469,1,[0.30714993]
16,4.71238898038469,2,[0.27848606]
17,4.71238898038469,3,[0.27491731]
18,4.71238898038469,4,[0.27386763]
19,4.71238898038469,5,[0.2728016]
0,0.0,1,[0.2816708]
1,0.0,2,[0.27439162]
2,0.0,3,[0.27482402]
3,0.0,4,[0.27149716]
4,0.0,5,[0.27025217]
5,0.7853981633974483,1,[0.28751462]
6,0.7853981633974483,2,[0.28751462]
7,0.7853981633974483,3,[0.27235052]
8,0.7853981633974483,4,[0.26819147]
9,0.7853981633974483,5,[0.26460462]
10,1.5707963267948966,1,[0.30377404]
11,1.5707963267948966,2,[0.27126809]
12,1.5707963267948966,3,[0.26711827]
13,1.5707963267948966,4,[0.26594154]
14,1.5707963267948966,5,[0.2645863]
15,4.71238898038469,1,[0.30377404]
16,4.71238898038469,2,[0.27126809]
17,4.71238898038469,3,[0.26711827]
18,4.71238898038469,4,[0.26594154]
19,4.71238898038469,5,[0.2645863]
0,0.0,1,[0.16077164]
1,0.0,2,[0.14063855]
2,0.0,3,[0.13725933]
3,0.0,4,[0.13231814]
4,0.0,5,[0.12913754]
5,0.7853981633974483,1,[0.15510774]
6,0.7853981633974483,2,[0.15510774]
7,0.7853981633974483,3,[0.14556144]
8,0.7853981633974483,4,[0.14512419]
9,0.7853981633974483,5,[0.14514571]
10,1.5707963267948966,1,[0.16073572]
11,1.5707963267948966,2,[0.1421023]
12,1.5707963267948966,3,[0.1413603]
13,1.5707963267948966,4,[0.13722067]
14,1.5707963267948966,5,[0.13301733]
15,4.71238898038469,1,[0.16073572]
16,4.71238898038469,2,[0.1421023]
17,4.71238898038469,3,[0.1413603]
18,4.71238898038469,4,[0.13722067]
19,4.71238898038469,5,[0.13301733]
0,0.0,1,[0.45470912]
1,0.0,2,[0.43813449]
2,0.0,3,[0.43792054]
3,0.0,4,[0.43462148]
4,0.0,5,[0.43141781]
5,0.7853981633974483,1,[0.48444557]
6,0.7853981633974483,2,[0.48444557]
7,0.7853981633974483,3,[0.44630762]
8,0.7853981633974483,4,[0.4353398]
9,0.7853981633974483,5,[0.4302747]
10,1.5707963267948966,1,[0.46509757]
11,1.5707963267948966,2,[0.43710483]
12,1.5707963267948966,3,[0.43325824]
13,1.5707963267948966,4,[0.431241]
14,1.5707963267948966,5,[0.43060608]
15,4.71238898038469,1,[0.46509757]
16,4.71238898038469,2,[0.43710483]
17,4.71238898038469,3,[0.43325824]
18,4.71238898038469,4,[0.431241]
19,4.71238898038469,5,[0.43060608]
0,0.0,1,[0.45658481]
1,0.0,2,[0.44525737]
2,0.0,3,[0.44528014]
3,0.0,4,[0.43871167]
4,0.0,5,[0.43743005]
5,0.7853981633974483,1,[0.47241077]
6,0.7853981633974483,2,[0.47241077]
7,0.7853981633974483,3,[0.44280088]
8,0.7853981633974483,4,[0.43734299]
9,0.7853981633974483,5,[0.43386741]
10,1.5707963267948966,1,[0.48496528]
11,1.5707963267948966,2,[0.44246453]
12,1.5707963267948966,3,[0.43476061]
13,1.5707963267948966,4,[0.43052126]
14,1.5707963267948966,5,[0.42878254]
15,4.71238898038469,1,[0.48496528]
16,4.71238898038469,2,[0.44246453]
17,4.71238898038469,3,[0.43476061]
18,4.71238898038469,4,[0.43052126]
19,4.71238898038469,5,[0.42878254]
0,0.0,1,[0.14323014]
1,0.0,2,[0.13051422]
2,0.0,3,[0.12734186]
3,0.0,4,[0.1247604]
4,0.0,5,[0.12166302]
5,0.7853981633974483,1,[0.13053693]
6,0.7853981633974483,2,[0.13053693]
7,0.7853981633974483,3,[0.12521008]
8,0.7853981633974483,4,[0.12188794]
9,0.7853981633974483,5,[0.11836838]
10,1.5707963267948966,1,[0.13258351]
11,1.5707963267948966,2,[0.12776321]
12,1.5707963267948966,3,[0.12551183]
13,1.5707963267948966,4,[0.12434428]
14,1.5707963267948966,5,[0.12224439]
15,4.71238898038469,1,[0.13258351]
16,4.71238898038469,2,[0.12776321]
17,4.71238898038469,3,[0.12551183]
18,4.71238898038469,4,[0.12434428]
19,4.71238898038469,5,[0.12224439]
0,0.0,1,[0.34748008]
1,0.0,2,[0.34094018]
2,0.0,3,[0.3373515]
3,0.0,4,[0.33490563]
4,0.0,5,[0.33203722]
5,0.7853981633974483,1,[0.3623855]
6,0.7853981633974483,2,[0.3623855]
7,0.7853981633974483,3,[0.33802938]
8,0.7853981633974483,4,[0.32844262]
9,0.7853981633974483,5,[0.32352032]
10,1.5707963267948966,1,[0.34709109]
11,1.5707963267948966,2,[0.33905719]
12,1.5707963267948966,3,[0.33481292]
13,1.5707963267948966,4,[0.33171901]
14,1.5707963267948966,5,[0.32980819]
15,4.71238898038469,1,[0.34709109]
16,4.71238898038469,2,[0.33905719]
17,4.71238898038469,3,[0.33481292]
18,4.71238898038469,4,[0.33171901]
19,4.71238898038469,5,[0.32980819]
0,0.0,1,[0.30139853]
1,0.0,2,[0.2990215]
2,0.0,3,[0.29789749]
3,0.0,4,[0.29496694]
4,0.0,5,[0.29359061]
5,0.7853981633974483,1,[0.31104398]
6,0.7853981633974483,2,[0.31104398]
7,0.7853981633974483,3,[0.29658406]
8,0.7853981633974483,4,[0.29227091]
9,0.7853981633974483,5,[0.29094386]
10,1.5707963267948966,1,[0.30811958]
11,1.5707963267948966,2,[0.29281523]
12,1.5707963267948966,3,[0.29087938]
13,1.5707963267948966,4,[0.2894252]
14,1.5707963267948966,5,[0.28945839]
15,4.71238898038469,1,[0.30811958]
16,4.71238898038469,2,[0.29281523]
17,4.71238898038469,3,[0.29087938]
18,4.71238898038469,4,[0.2894252]
19,4.71238898038469,5,[0.28945839]
0,0.0,1,[0.2216959]
1,0.0,2,[0.18791143]
2,0.0,3,[0.17403768]
3,0.0,4,[0.16388197]
4,0.0,5,[0.16308596]
5,0.7853981633974483,1,[0.20477564]
6,0.7853981633974483,2,[0.20477564]
7,0.7853981633974483,3,[0.17912283]
8,0.7853981633974483,4,[0.16422207]
9,0.7853981633974483,5,[0.15899655]
10,1.5707963267948966,1,[0.21297042]
11,1.5707963267948966,2,[0.19103329]
12,1.5707963267948966,3,[0.18097132]
13,1.5707963267948966,4,[0.17148388]
14,1.5707963267948966,5,[0.17123372]
15,4.71238898038469,1,[0.21297042]
16,4.71238898038469,2,[0.19103329]
17,4.71238898038469,3,[0.18097132]
18,4.71238898038469,4,[0.17148388]
19,4.71238898038469,5,[0.17123372]
0,0.0,1,[0.70522488]
1,0.0,2,[0.6998206]
2,0.0,3,[0.69670623]
3,0.0,4,[0.69377389]
4,0.0,5,[0.69093798]
5,0.7853981633974483,1,[0.70645937]
6,0.7853981633974483,2,[0.70645937]
7,0.7853981633974483,3,[0.69749695]
8,0.7853981633974483,4,[0.69025778]
9,0.7853981633974483,5,[0.68348891]
10,1.5707963267948966,1,[0.70546863]
11,1.5707963267948966,2,[0.69998425]
12,1.5707963267948966,3,[0.69691213]
13,1.5707963267948966,4,[0.69413589]
14,1.5707963267948966,5,[0.69124238]
15,4.71238898038469,1,[0.70546863]
16,4.71238898038469,2,[0.69998425]
17,4.71238898038469,3,[0.69691213]
18,4.71238898038469,4,[0.69413589]
19,4.71238898038469,5,[0.69124238]
0,0.0,1,[0.49183064]
1,0.0,2,[0.47796444]
2,0.0,3,[0.47632993]
3,0.0,4,[0.47651001]
4,0.0,5,[0.4754902]
5,0.7853981633974483,1,[0.51709786]
